Surname,Firstname,Branch,Military Unit,Page No
BAILEY,Robert H,Railways Locomotive,19th Battalion,8
BAILEY,William C,Railways Traffic,45th Battalion,2
BALL,Frederick,Railways Locomotive,30th Battalion,8
BANKS,Arthur J,Tramways Electrical,49th Battalion,25
BANNER,Albert,Railways Locomotive,60th Battalion,8
BANNISTER,Albert,Tramways Traffic,19th Battalion,21
BARKER,Harold F,Railways Electrical,55th Battalion,19
BARNWELL,John,Railways Permanent Way,36th Battalion (4th Reinforcements),15
BARRACK,Roy G,Railways Traffic,53rd Battalion,2
BARRETT,Alfred,Railways Traffic,2nd Battalion (19th Reinforcements),2
BARRETT,Herbert R,Tramways Traffic,30th Battalion,21
BARTLETT,Alfred,Railways Permanent Way,17th Battalion,15
BEATTIE,William,Tramways Traffic,20th Battalion,21
BEAUMONT,Walter H,Tramways Traffic,17th Battalion (7th Reinforcements),21
BEGBIE,Donald S,Railways Traffic,20th Battalion,2
BEITH,William,Tramways Permanent Way,56th Battalion,27
BELFORD,Eldred J,Railways Locomotive,1st Battalion (11th Reinforcements),8
BELL,John,Railways Permanent Way,39th Battalion (3rd Reinforcements),15
BELL,John G,Tramways Traffic,2nd Battalion,21
BELL,John H E,Railways Traffic,26th Battalion (4th Reinforcements),2
BELL,William J,Railways Traffic,1st Field Ambulance,2
BENNETT,Frederick T,Tramways Electrical,56th Battalion,25
BENNETT,George E A,Railways Traffic,20th Battalion,2
BERG,Carl,Railways Locomotive,Australian Flying Corps,8
BERGHOFF,Charles R,Railways Audit,1st Battalion,20
BERNARD,Ernest E,Tramways Traffic,Trench Mortar Battery,21
BERRIMAN,Joseph W,Railways Traffic,13th Battalion,2
BERRY,Frederick,Railways Locomotive,36th Battalion (6th Reinforcements),8
BERRY,John J,Railways Signalling,3rd Battalion (12th Reinforcements),19
BETTS,Harold H,Railways Traffic,36th Battalion,2
BINGLEY,Claud W,Railways Locomotive,54th Battalion,8
BINGLEY,Frederick J,Railways Signalling,1st Battalion,19
BIRD,Cuthbert,Tramways Traffic,13th Battalion,21
BIRD,Edward C,Railways Locomotive,2nd Battalion,8
BISHOP,William H,Railways Traffic,54th Battalion,2
BLACK,James,Railways Permanent Way,2nd Battalion (4th Reinforcements),15
BLACK,Leslie M,Railways Locomotive,4th Pioneer Battalion,8
BLACKBURN,Horace S,Tramways Traffic,55th Battalion,21
BLADIN,Henry W,Railways Traffic,1st Field Ambulance,2
BLAIR,George,Railways Permanent Way,4th Battalion (5th Reinforcements),15
BOLTON,Joseph C,Railways Locomotive,18th Battalion (10th Reinforcements),8
BONE,David,Railways Traffic,2nd Machine Gun Section,2
BOOKER,William J,Railways Locomotive,2nd Battalion (20th Reinforcements),8
BOON,John R,Railways Locomotive,1st Battalion,8
BOSWELL,Stephen A,Railways Traffic,17th Battalion,2
BOUGHTON,John,Railways Traffic,19th Battalion,2
BOURKE,Francis R,Railways Traffic,17th Battalion (2nd Reinforcements),2
BOURKE,Harold,Railways Permanent Way,30th Battalion (2nd Reinforcements),15
BOURKE,John J,Railways Locomotive,1st Australian Light Horse,8
BOURNE,Henry C,Railways Traffic,2nd Battalion,2
BOWEN,Francis P,Railways Traffic,29th Battalion,2
BOWMAN,Charles,Tramways Traffic,35th Battalion,21
BRABAZON,Sidney,Railways Permanent Way,4th Battalion,15
BRADLEY,William,Railways Permanent Way,1st Pioneer Battalion,15
BRADY,Frederick G,Railways Traffic,20th Battalion (9th Reinforcements),2
BRAIN,Sydney G H,Tramways Electrical,2nd Battalion,25
BRENNAN,James,Railways Permanent Way,1st Field Company Engineers,15
BRENNAN,Joseph,Railways Permanent Way,7th Field Company Engineers (4th Reinforcements),15
BRETT,Alfred,Railways Permanent Way,31st Battalion,15
BRIDGES,James C,Railways Traffic,3rd Battalion,2
BRIGGS,Frederick,Tramways Traffic,17th Battalion,21
BRINKMAN,Vincent E,Railways Traffic,18th Battalion (2nd Reinforcements),2
BROMLEY,Albert C,Railways Traffic,53rd Battalion,3
BROOKES,Walter,Railways Locomotive,2nd Divisional Signalling Company,8
BROOKS,Charles,Railways Permanent Way,34th Battalion (4th Reinforcements),15
BROWN,Alfred,Railways Permanent Way,4th Battalion,15
BROWN,Aubrey E,Tramways Electrical,19th Battalion (18th Reinforcements),25
BROWN,Francis,Tramways Traffic,55th Battalion,21
BROWN,Ivo,Railways Locomotive,1st Battalion (18th Reinforcements),8
BROWN,James S,Tramways Electrical,17th Battalion (6th Reinforcements),25
BROWN,Leslie J,Railways Audit,4th Battalion,20
BROWN,William E,Tramways Electrical,57th Battalion,25
BRUCE,George H,Railways Traffic,13th Battalion (8th Reinforcements),3
BRUCE,Thomas F,Tramways Traffic,36th Battalion,21
BRUDERLIN,William,Railways Locomotive,2nd Battalion,8
BRYANT,Frederick J,Tramways Traffic,4th Battalion (6th Reinforcements),21
BRYDEN,John A,Railways Locomotive,30th Battalion,8
BUCKLEY,Sidney J,Railways Locomotive,19th Battalion,8
BUCKLEY,Thomas A,Railways Locomotive,2nd Battalion (12th Reinforcements),8
BULL,Stanley G,Tramways Traffic,2nd Battalion,21
BULMER,Robert H,Railways Locomotive,3rd Battalion,8
BUNDY,William,Railways Locomotive,53rd Battalion,8
BUNN,George,Railways Locomotive,4th Battalion,8
BURGESS,Charles,Railways Permanent Way,30th Battalion (5th Reinforcements),15
BURGIN,Christopher,Tramways Traffic,20th Battalion (17th Reinforcements),21
BURKE,Benjamin,Railways Traffic,34th Battalion,3
BURKE,Edward,Railways Locomotive,9th Field Company Engineers,8
BURNE,Raynald,Tramways Traffic,1st Battalion,21
BURNETT,William H,Railways Audit,Army Pay Corps,20
BURNS,George E,Railways Traffic,3rd Battalion,3
BURNS,James,Railways Traffic,55th Battalion,3
BURNS,James A,Railways Traffic,Mining Corps (1st Reinforcements),3
BURNS,Patrick J,Tramways Electrical,1st Battalion (1st Reinforcements),25
BURNS,Wilfred,Railways Permanent Way,4th Battalion,15
BURRGRAM,Arthur H,Tramways Traffic,60th Battalion (7th Reinforcements),21
BURROWS,Henry J,Railways Locomotive,14th Battalion,8
BURROWS,Marshall,Railways Locomotive,4th Pioneer Battalion,8
BURT,William H,Railways Traffic,34th Battalion,3
BURTON,Victor R,Railways Locomotive,3rd Battalion (21st Reinforcements),8
BUST,Clarence V,Tramways Traffic,4th Battalion,21
BUTLER,James W,Railways Traffic,3rd Battalion,3
BUTLER,Thomas P,Railways Traffic,55th Battalion,3
BUTTERS,Alfred F,Railways Traffic,19th Battalion (6th Reinforcements),3
BUTTERWORTH,Robert,Railways Permanent Way,3rd Battalion,15
BYRNS,William H,Railways Permanent Way,18th Battalion (2nd Reinforcements),15
BYRON,Cornelius,Railways Audit,18th Battalion (11th Reinforcements),20
CAHILL,Thomas J,Railways Locomotive,4th Field Company Engineers,8
CAIRNS,Arthur T,Railways Locomotive,13th Battalion (12th Reinforcements),8
CALLCOTT,Norman C,Railways Traffic,33rd Battalion,3
CAMERON,Alexander,Railways Locomotive,7th Field Company Engineers,8
CAMERON,Donald,Railways Locomotive,35th Battalion,8
CAMERON,Harold,Railways Traffic,20th Battalion (4th Reinforcements),3
CAMERON,Robert S,Tramways Traffic,45th Battalion,21
CAMERON,Roy,Tramways Electrical,55th Battalion,25
CAMPBELL,Arthur J,Railways Locomotive,2nd Battalion,8
CAMPBELL,Charles D,Railways Traffic,14th Field Ambulance,3
CAMPBELL,Murdock,Tramways Traffic,59th Battalion (7th Reinforcements),21
CAMPBELL,Oliver,Tramways Traffic,20th Battalion (11th Reinforcements),21
CAMPBELL,Reginald T,Railways Permanent Way,59th Battalion,15
CAMPBELL,Robert H,Tramways Permanent Way,3rd Battalion,27
CAMPS,Victor A,Railways Permanent Way,30th Battalion,15
CARLIN,Harry,Railways Locomotive,2nd Battalion,8
CARLOW,Jack M,Railways Traffic,17th Battalion (14th Reinforcements),3
CARNELL,Arthur J,Railways Locomotive,3rd Battalion,8
CARPENTER,John W,Tramways Traffic,33rd Battalion,21
CARROLL,John W,Tramways Traffic,33rd Battalion,21
CARRUTHERS,John T,Railways Audit,59th Battalion,20
CARTER,David W,Railways Traffic,1st Battalion,3
CARTER,Joseph E,Tramways Electrical,17th Battalion (18th Reinforcements),25
CASHIN,Roystone H,Railways Electrical,13th Field Artillery Brigade,19
CASTLE,Alfred E,Railways Locomotive,5th Machine Gun Company,8
CASTLE,Harold,Railways Traffic,54th Battalion (4th Reinforcements),3
CATER,Bertie W,Railways Locomotive,20th Battalion,8
CATO,Reginald J,Railways Traffic,56th Battalion (5th Reinforcements),3
CAVANAGH,Martin J,Tramways Traffic,1st Battalion (20th Reinforcements),21
CAWE,Edward,Railways Traffic,20th Battalion (5th Reinforcements),3
CHADWICK,Henry,Tramways Traffic,3rd Battalion,21
CHAMBERS,Keith,Tramways Permanent Way,4th Battalion,27
CHAPMAN,Henry S,Railways Electrical,3rd Battalion,19
CHAPMAN,Wilfred S,Railways Permanent Way,35th Battalion (1st reinforcements),15
CHAPMAN,William,Railways Locomotive,17th Battalion,8
CHARLTON,Alfred J,Railways Traffic,36th Battalion,3
CHARNOCK,Thomas,Railways Locomotive,15th Battalion (11th Reinforcements),8
CHATTERTON,Charles W,Railways Locomotive,18th Battalion (12th Reinforcements),8
CHEESEMAN,Reginald,Railways Locomotive,45th Battalion (4th Reinforcements),8
CHELL,George C,Tramways Traffic,20th Battalion (17th Reinforcements),21
CHESTERTON,Francis,Railways Traffic,Machine Gun Company,3
CHIGNELL,David,Railways Locomotive,56th Battalion,8
CHILDS,Victor A,Railways Traffic,(F) Company Recruits,3
CHURCH,Alexander,Railways Permanent Way,19th Battalion (9th Reinforcements),15
CLARK,Albert H,Railways Permanent Way,35th Battalion,15
CLARK,Alexander C,Railways Traffic,4th Battalion,3
CLARK,Alfred C,Tramways Traffic,2nd Battalion,21
CLARK,Arthur J,Railways Permanent Way,35th Battalion,15
CLARK,Ernest D,Tramways Traffic,5th Light Trench Mortar Battery,21
CLARK,Henry,Tramways Traffic,2nd Battalion (12th Reinforcements),21
CLARK,James,Railways Locomotive,17th Battalion (4th Reinforcements),8
CLARK,William T,Railways Traffic,19th Battalion,3
CLARKE,John D,Railways Permanent Way,4th Battalion (11th Reinforcements),15
CLARKE,Joseph,Railways Traffic,17th Battalion (3rd Reinforcements),3
CLARKE,Norman W,Tramways Electrical,3rd Battalion (6th Reinforcements),25
CLARKSON,William,Railways Traffic,5th Field Artillery Brigade,3
CLAYDON,Felton H,Railways Traffic,49th Battalion,3
CLEMENT,Frederick,Railways Permanent Way,35th Battalion (2nd Reinforcements),15
CLIFFORD,Charles,Tramways Traffic,20th Battalion (11th Reinforcements),21
CLIFFORD,Frank,Tramways Permanent Way,8th Battalion (22nd Reinforcements),27
CLINGAN,Alexander S,Railways Permanent Way,1st Battalion (10th Reinforcements),15
COE,Alexander,Railways Locomotive,5th Field Ambulance,9
COGGAN,George,Railways Permanent Way,14th Field Artillery Brigade,15
COLEMAN,Eric,Railways Traffic,1st Battalion,3
COLEMAN,George,Railways Permanent Way,18th Battalion,15
COLGAN,James F,Railways Traffic,20th Battalion,3
COLLESS,John W,Railways Traffic,3rd Battalion,3
COLLINS,John D,Railways Traffic,4th Battalion,3
COLLINS,Lionel,Railways Permanent Way,2nd Battalion,15
COLLINS,Martin,Tramways Traffic,19th Battalion (2nd Reinforcements),21
COLLINS,Peter J,Tramways Traffic,53rd Battalion,21
COLLIS,Sidney,Railways Permanent Way,18th Battalion (14th Reinforcements),15
COLLUM,John S,Railways Locomotive,19th Battalion (12th Reinforcements),9
COMPTON,Reginald C,Railways Locomotive,19th Battalion,9
CONVILLE,Thomas,Railways Traffic,2nd Battalion,3
COOKE,Cyril B,Railways Locomotive,18th Battalion (18th Reinforcements),9
COOKS,Thomas,Tramways Traffic,55th Battalion,21
COOMBES,Roy G,Railways Permanent Way,18th Battalion,15
COONEY,Thomas,Railways Permanent Way,55th Battalion,15
COOPER,Frank R,Railways Locomotive,36th Battalion (5th Reinforcements),9
COOPER,Kenneth J,Railways Signalling,2nd Battalion (13th Reinforcements),19
COOTE,Leslie V H,Railways Permanent Way,2nd Divisional Ammunition Column,15
CORK,Aubrey F,Tramways Traffic,1st Divisional Ammunition Column,21
CORK,Howard H,Railways Traffic,30th Battalion,3
CORKHILL,Norman A,Tramways Traffic,30th Battalion,21
CORMACK,Allan,Railways Traffic,13th Battalion,3
CORPS,Ernest,Railways Locomotive,20th Battalion,9
CORRIGAN,John H,Railways Locomotive,3rd Battalion (20th Reinforcements),9
COSGROVE,Henry E,Railways Stores,15th Australian Army Service Corps,20
COTTLE,Archibald E,Railways Locomotive,2nd Battalion,9
COUGHLIN,Michael,Railways Permanent Way,2nd Battalion,15
COULSON,John H,Railways Permanent Way,2nd Battalion,15
COULTER,Alexander,Tramways Permanent Way,18th Battalion (11th Reinforcements),27
COX,Edward T,Railways Permanent Way,17th Battalion,15
CRACKNELL,Reginald,Railways Locomotive,17th Battalion,9
CRAKE,George,Tramways Traffic,1st Australian Light Horse,21
CRANE,Arthur S,Tramways Electrical,55th Battalion,25
CRANE,Hector,Railways Permanent Way,55th Battalion (7th Reinforcements),15
CREBERT,Walter H,Railways Locomotive,55th Battalion,9
CRIDLAND,Frederick,Railways Permanent Way,53rd Battalion,15
CROOK,Samuel R,Railways Traffic,9th Field Ambulance,3
CROWE,William H,Railways Locomotive,17th Battalion,9
CULLEN,Thomas,Railways Permanent Way,13th Battalion,15
CUMBERLAND,Joseph,Railways Locomotive,2nd Battalion,9
CUNNINGHAM,Walter M,Tramways Traffic,36th Battalion (4th Reinforcements),21
CURLEY,Edward,Railways Permanent Way,13th Battalion (6th Reinforcements),15
CUTHBERT,Albert E,Railways Traffic,18th Battalion,3
D'ARCY-IRVINE,Carol,Tramways Traffic,13th Battalion,21
DALY,Francis N,Tramways Traffic,1st Field Artillery,21
DARBY,James B,Railways Locomotive,4th Field Artillery Brigade,9
DARCY,James E,Railways Locomotive,60th Company Royal Engineers,9
DAVIDGE,Cecil R,Railways Traffic,13th Battalion,3
DAVIDSON,George R,Railways Traffic,3rd Battalion,3
DAVIES,Archibald N,Railways Locomotive,2nd Battalion,9
DAVIES,Frederick,Railways Locomotive,1st Battalion (15th Reinforcements),9
DAVIES,Reginald,Railways Traffic,17th Battalion,3
DAVIS,Cecil H,Tramways Traffic,5th Battalion,21
DAVIS,Gordon,Railways Locomotive,13th Battalion,9
DAVIS,Richard J,Railways Traffic,1st Battalion,3
DAVIS,Wilfrid,Tramways Traffic,17th Battalion,21
DAVISON,James,Railways Traffic,31st Battalion,3
DAYSH,Roderick W,Railways Locomotive,Australian Army Service Corps,9
DEACON,John G,Railways Locomotive,2nd Battalion,9
DEAN,Alexander V,Railways Traffic,3rd Battalion Army Medical Corps,3
DERLEY,Frederick,Railways Permanent Way,19th Battalion (5th Reinforcements),15
DEVER,William,Railways Locomotive,3rd Battalion (12th Reinforcements),9
DEVESON,Albert,Railways Locomotive,1st Battalion (23rd Reinforcements),9
DEWAR,Robert A,Tramways Traffic,55th Battalion,21
DIENER,Leo A,Railways Locomotive,2nd Battalion (12th Reinforcements),9
DINGLEY,William,Railways Locomotive,20th Battalion (11th Reinforcements),9
DIXON,Bertrand J,Railways Traffic,35th Battalion (1st Reinforcements),3
DIXON,William I,Railways Locomotive,4th Battalion,9
DOBINSON,Patrick,Railways Locomotive,4th Battalion (2nd Reinforcements),9
DOBSON,William,Railways Traffic,55th Battalion,3
DONEHUE,Archie V,Tramways Traffic,1st Battalion (6th Reinforcements),21
DOOHAN,Bertie,Railways Locomotive,2nd Battalion,9
DOOLEY,John T,Railways Locomotive,3rd Battalion,9
DORAN,James,Railways Permanent Way,1st Battalion (14th Reinforcements),15
DOUGLAS,Percy,Tramways Traffic,3rd Battalion,21
DOWLING,Eric,Railways Locomotive,17th Battalion (6th Reinforcements),9
DOWLING,Raymond J,Railways Signalling,45th Battalion (7th Reinforcements),19
DOYLE,Michael,Railways Permanent Way,9th Field Coy Engineers,15
DOYLE,Patrick,Railways Permanent Way,54th Battalion,15
DOYLE,Thomas,Railways Locomotive,20th Battalion,9
DREVES,Arthur W,Tramways Permanent Way,3rd Battalion,27
DUCKWORTH,Alexander,Railways Traffic,1st Battalion (12th Reinforcements),3
DUNN,Arthur,Railways Permanent Way,49th Battalion,15
DUNN,Herbert S,Railways Permanent Way,Recruits,15
DUNN,William,Tramways Traffic,17th Battalion (5th Reinforcements),21
DUNPHY,Cecil A,Railways Locomotive,3rd Battalion (8th Reinforcements),9
DUPREZ,Offord,Railways Locomotive,7th Light Horse,9
DURACK,Thomas J,Tramways Electrical,18th Battalion (2nd Reinforcements),25
DUTTON,Benjamin,Railways Permanent Way,1st Battalion,15
DUXBURY,Herbert A`,Railways Locomotive,13th Battalion,9
EARLS,John A,Railways Traffic,4th Battalion,3
EATHER,John,Railways Locomotive,3rd Battalion,9
EDGE,James,Railways Traffic,13th Battalion (6th Reinforcements),3
EDGE,Randolf D,Railways Traffic,18th Battalion,3
EDGEWORTH,Reginald,Railways Permanent Way,53rd Battalion,16
EDMONDS,Roy A,Railways Traffic,33rd Battalion,3
EDSER,Charles,Railways Locomotive,9th Field Ambulance,9
EDWARDS,Arthur L S,Railways Traffic,2nd Battalion,3
EDWARDS,Edmund J,Tramways Traffic,55th Battalion,21
EDWARDSEN,Hilmar,Railways Permanent Way,60th Battalion (2nd Reinforcements),16
ELDRIDGE,Henry S,Railways Locomotive,1st Depot Battalion,9
ELEY,Samuel T,Railways Permanent Way,14th Machine Gun Company,16
ELLIOT,Cyril,Railways Locomotive,55th Battalion,9
ELLIOTT,Dudley S,Tramways Traffic,35th Battalion (5th Reinforcements),22
ELLIS,George,Railways Traffic,1st Battalion,3
ELLIS,Henry,Tramways Traffic,18th Battalion,22
ELMS,Joseph W,Railways Traffic,20th Battalion,3
ELRICK,James R,Tramways Traffic,55th Battalion,22
ELVIN,Leonard R,Railways Locomotive,1st Battalion (9th Reinforcements),9
EMBLETON,John E,Railways Locomotive,35th Battalion,9
EMMETT,Robert,Railways Traffic,57th Battalion (7th Reinforcements),4
ENRIGHT,James E,Railways Locomotive,1st Field Company Engineers (7th Reinforcements),9
EVANS,Frank H,Railways Traffic,1st Australian Light Horse,4
EVANS,William F,Railways Traffic,1st Battalion (15th Reinforcements),4
EVANS,William R,Railways Traffic,2nd Battalion (3rd Reinforcements),4
EZZY,Charles,Railways Locomotive,55th Battalion,9
FADDEN,John,Railways Permanent Way,54th Battalion,16
FAERDER,Augustus,Railways Permanent Way,2nd Field Artillery Brigade,16
FAHEY,Patrick W,Tramways Electrical,55th Battalion,25
FAIRNHAM,Henry H,Tramways Electrical,1st Field Engineers,25
FANNING,Edward,Railways Locomotive,1st Battalion,9
FARNSWORTH,John,Railways Permanent Way,4th Battalion,16
FARRELL,James S,Railways Permanent Way,31st Battalion (3rd Reinforcements),16
FARRELL,James V,Tramways Traffic,5th Machine Gun Company,22
FAWLEY,Henry,Railways Permanent Way,3rd Battalion,16
FEATON,Herbert,Railways Permanent Way,3rd Battalion (12th Reinforcements),16
FELTHAM,Frederick G,Railways Locomotive,4th Battalion,9
FENTON,Rowland,Railways Traffic,18th Battalion (13th Reinforcements),4
FERGUSON,Leopold,Railways Permanent Way,Australian Army Medical Corps,16
FERGUSON,Logie,Tramways Traffic,20th Battalion (3rd Reinforcements),22
FERGUSON,Thomas,Railways Traffic,54th Battalion,4
FERRIS,William T C,Railways Locomotive,1st Battalion (2nd Reinforcements),9
FIELD,Herbert,Tramways Permanent Way,30th Battalion (9th Reinforcements),27
FINLEY,Arthur T,Tramways Electrical,17th Battalion (9th Reinforcements),25
FINN,William E,Tramways Traffic,4th Battalion,22
FINNIE,Alexander,Tramways Traffic,4th Squadron Flying Corps,22
FISHER,Alfred,Railways Permanent Way,25th Battalion (8th Reinforcements),16
FISHER,Henry,Tramways Traffic,2nd Battalion,22
FISHER,William H,Railways Electrical,1st Mining  Battalion (2nd Reinforcements),19
FITZGERALD,Edgar L,Railways Traffic,4th Battalion,4
FITZPATRICK,James P,Tramways Electrical,45th Battalion,25
FLATLEY,Martin,Tramways Traffic,1st Field Company Engineers,22
FLATMAN,George W,Railways Locomotive,5th Machine Gun Company,9
FLEMING,Arthur R,Railways Traffic,1st Field Ambulance,4
FLEMING,Clifford,Tramways Traffic,4th Battalion (5th Reinforcements),22
FLEMING,Edward S,Tramways Stores,17th Battalion (9th Reinforcements),27
FLEMING,George,Railways Locomotive,36th Battalion (4th Reinforcements),9
FLYNN,Thomas J,Tramways Traffic,1st Battalion,22
FOLLINGTON,James,Railways Locomotive,3rd Battalion,9
FOOTE,George R V,Tramways Electrical,3rd Battalion,25
FOOTE,John,Railways Permanent Way,3rd Battalion,16
FORBES,Andrew J,Tramways Traffic,53rd Battalion,22
FORBES,James,Railways Locomotive,18th Battalion,9
FORD,James P,Railways Locomotive,2nd Battalion,9
FORD,Paul,Tramways Electrical,5th Field Artillery Brigade,25
FORREST,Thomas S,Railways Traffic,2nd Battalion,4
FOSTER-GRIFFITHS,Edward,Railways Locomotive,5th Machine Gun Company,9
FOWLER,Reginald O,Tramways Traffic,1st Battalion,22
FOX,Bernard,Railways Locomotive,9th Field Ambulance,9
FOX,William,Railways Permanent Way,30th Battalion,16
FOXFORD,William,Railways Traffic,35th Battalion,4
FRANEY,Arthur,Railways Traffic,2nd Battalion (11th Reinforcements),4
FRAUENFELDER,Edward F S,Railways Traffic,18th Battalion (15th Reinforcements),4
FREER,William F,Tramways Traffic,1st Battalion,22
FUGE,John L,Railways Traffic,Army Medical Corps,4
FUNKENSTEIN,Henry,Tramways Permanent Way,2nd Battalion,27
GALLEN,William,Railways Locomotive,18th Battalion (12th Reinforcements),10
GALLOWAY,Clarence,Railways Locomotive,34th Battalion,10
GAMACK,Wilton C,Railways Audit,19th Battalion,20
GAMBLING,Alfred A,Tramways Traffic,3rd Battalion,22
GAMMORE,Henry W,Railways Traffic,4th Battalion,4
GANNON,John H,Railways Traffic,17th Battalion (12th Reinforcements),4
GANNON,Willliam,Railways Traffic,2nd General Hospital,4
GARBITT,Joseph,Railways Signalling,110th Howitzer Battery,19
GARDINER,Walter,Railways Locomotive,56th Battalion,10
GARDNER,John A,Tramways Electrical,3rd Battalion (6th Reinforcements),25
GARNETT,Henry J,Railways Permanent Way,20th Battalion (11th Reinforcements),16
GARRIOCK,Eric,Railways Locomotive,4th Field Artillery Brigade,10
GASKELL,Henry,Railways Permanent Way,20th Battalion (5th Reinforcements),16
GASKELL,Richard J,Railways Signalling,30th Battalion,19
GASS,Hugh G,Railways Electrical,45th Battalion,19
GELL,John,Tramways Traffic,4th Battalion,22
GIBBS,Frederick,Railways Locomotive,1st Field Artillery Brigade,10
GIBBS,George,Tramways Traffic,1st Battalion,22
GIBSON,Percival,Railways Locomotive,1st Light Trench Mortar Battery,10
GILES,Francis,Railways Locomotive,1st Battalion,10
GILL,George A,Railways Locomotive,59th  Battalion (7th Reinforcements),10
GILLETT,Edward P,Railways Locomotive,6th Broad Gauge Railway Operational Company,10
GILMORE,Egbert D,Tramways Traffic,33rd Battalion,22
GILMORE,James E,Railways Traffic,53rd Battalion,4
GILMOUR,Joseph,Railways Permanent Way,2nd Battalion,16
GILSON,Victor G,Railways Permanent Way,36th Battalion,16
GLYNN,Grenfell H,Tramways Traffic,55th Battalion,22
GLYNN,John H,Railways Locomotive,56th  Battalion,10
GOAD,Reginald,Railways Locomotive,17th  Battalion,10
GODBEE,Keith R,Tramways Traffic,35th Battalion,22
GODFREY,George N,Railways Traffic,4th Battalion (4th Reinforcements),4
GOLDEN,Thomas,Railways Locomotive,13th  Battalion,10
GOLDSMITH,Raymond,Railways Permanent Way,3rd Battalion,16
GOODALL,James R,Tramways Traffic,1st Battalion,22
GOODE,George N,Tramways Traffic,3rd Battalion,22
GOODHEAD,Thomas,Railways Locomotive,30th  Battalion,10
GOODMAN,Charles E,Railways Permanent Way,3rd Battalion,16
GOODMAN,William J,Railways Signalling,17th Battalion (8th Reinforcements),19
GOODWIN,George V,Railways Traffic,3rd Battalion,4
GOODYER,Robert A,Tramways Electrical,19th Battalion (13th Reinforcements),25
GOOLD,Francis A,Tramways Electrical,35th Battalion (2nd Reinforcements),25
GORMLY,James,Railways Traffic,7th Battalion,4
GOULD,Thomas H,Tramways Traffic,53rd Battalion,22
GOW,James R,Railways Traffic,54th Battalion,4
GOWENLOCK,Ernest,Tramways Traffic,57th Battalion,22
GOWING,Walter S,Railways Locomotive,4th Field Company Engineers,10
GRAHAM,Edward B,Railways Locomotive,2nd Battalion (7th Reinforcements),10
GRANT,Arthur A,Railways Traffic,33rd Battalion,4
GRANT,James S,Railways Locomotive,5th Field Company Engineers,10
GRAY,Alfred S,Railways Traffic,2nd Battalion,4
GREAYER,Joe,Tramways Electrical,17th Battalion (10th Reinforcements),25
GRIEVE,John,Railways Locomotive,13th Battalion,10
GRIEVES,Herbert G,Railways Traffic,1st Battalion,4
GRIFFEN,James,Tramways Permanent Way,19th Battalion (11th Reinforcements),27
GRIMSTONE,Ernest,Railways Locomotive,19th Battalion,10
GULLEN,Richard,Tramways Electrical,18th Battalion (18th Reinforcements),25
GULLICKSON,Robert,Railways Traffic,14th Battalion,4
GUNDERSON,Howard,Railways Locomotive,4th Battalion (5th Reinforcements),10
GUNTER,George A,Railways Traffic,18th Battalion,4
GUYOTT,Claude W E,Railways Locomotive,3rd Battalion (12th Reinforcements),10
